Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Kappa,Specificity,True Churn,False Churn
ISP,XGBoost,97.44,98.63,96.73,97.67,99.73,0.9483,98.32,7748,108
ISP,LFE-CNN,95.34,99.12,92.42,95.65,99.19,0.9065,98.98,7403,66
ISP,Ensemble (LFE+DFE),94.42,98.65,91.19,94.77,98.57,0.8882,98.45,7304,100
ISP,DFE-CNN,90.69,95.78,87.03,91.2,95.87,0.8136,95.24,6971,307
Insurance,XGBoost,90.3,57.84,62.8,60.22,92.65,0.547,93.94,498,363
Insurance,LFE-CNN,85.98,44.48,80.33,57.26,91.94,0.4969,86.73,637,795
Insurance,Ensemble (LFE+DFE),84.62,41.95,82.09,55.52,91.24,0.4738,84.96,651,901
Insurance,DFE-CNN,80.32,35.34,82.35,49.45,88.57,0.3956,80.05,653,1195
Telecom,XGBoost,95.5,89.41,78.35,83.52,95.03,0.8093,98.42,76,9
Telecom,DFE-CNN,88.76,68.33,42.27,52.23,84.57,0.4626,96.67,41,19
Telecom,Ensemble (LFE+DFE),88.61,64.38,48.45,55.29,87.91,0.4891,95.44,47,26
Telecom,LFE-CNN,87.86,59.76,50.52,54.75,87.79,0.4779,94.21,49,33
